eid,probe,stage,bz,cls
2007-08-01_tha,tha,no_shell,-0.05,
2007-08-02_tha,tha,no_shell,-0.04,
2007-08-03_tha,tha,no_shell,1.12,
2007-08-04_tha,tha,no_bg,0.23,
2007-08-05_tha,tha,no_shell,-0.82,
2007-08-06_tha,tha,no_shell,-0.82,
2007-08-07_tha,tha,no_shell,-0.94,
2007-08-08_tha,tha,contrib,0.07,BOUNDARY_LAYER
2007-08-09_tha,tha,contrib,1.26,CONFIRMED_PDL
2007-08-09_thb,thb,no_bg,1.22,
2007-08-09_thc,thc,no_bg,1.28,
2007-08-09_thd,thd,no_bg,1.33,
2007-08-09_the,the,no_bg,1.31,
2007-08-10_tha,tha,contrib,1.2,AMBIGUOUS
2007-08-10_thb,thb,no_bg,1.2,
2007-08-10_thc,thc,no_bg,1.2,
2007-08-10_thd,thd,no_bg,1.2,
2007-08-10_the,the,no_bg,1.2,
2007-08-11_tha,tha,contrib,-0.3,AMBIGUOUS
2007-08-11_thb,thb,contrib,0.38,AMBIGUOUS
2007-08-11_thc,thc,contrib,0.25,BOUNDARY_LAYER
2007-08-11_thd,thd,contrib,0.14,BOUNDARY_LAYER
2007-08-11_the,the,no_shell,0.18,
2007-08-12_tha,tha,contrib,-0.01,AMBIGUOUS
2007-08-12_thb,thb,no_shell,-0.28,
2007-08-12_thc,thc,contrib,-0.23,AMBIGUOUS
2007-08-12_thd,thd,no_shell,-0.2,
2007-08-13_tha,tha,contrib,0.07,AMBIGUOUS
2007-08-13_thb,thb,contrib,0.03,BOUNDARY_LAYER
2007-08-13_thc,thc,contrib,0.06,AMBIGUOUS
2007-08-13_thd,thd,contrib,0.12,BOUNDARY_LAYER
2007-08-13_the,the,no_shell,0.12,
2007-08-14_tha,tha,no_bg,-0.04,
2007-08-14_thb,thb,no_bg,-0.04,
2007-08-14_thc,thc,no_bg,-0.04,
2007-08-14_thd,thd,no_bg,-0.04,
2007-08-14_the,the,no_bg,-0.04,
2007-08-15_tha,tha,contrib,-0.53,BOUNDARY_LAYER
2007-08-15_thb,thb,no_shell,-1.46,
2007-08-15_thc,thc,contrib,-0.62,BOUNDARY_LAYER
2007-08-15_thd,thd,contrib,-0.63,BOUNDARY_LAYER
2007-08-15_the,the,contrib,-0.63,BOUNDARY_LAYER
2007-08-16_tha,tha,no_shell,1.66,
2007-08-16_thb,thb,contrib,1.83,AMBIGUOUS
2007-08-16_thc,thc,contrib,2.09,CONFIRMED_PDL
2007-08-16_thd,thd,contrib,2.12,CONFIRMED_PDL
2007-08-16_the,the,contrib,2.12,BOUNDARY_LAYER
2007-08-17_tha,tha,contrib,0.22,BOUNDARY_LAYER
2007-08-17_thb,thb,contrib,0.38,BOUNDARY_LAYER
2007-08-17_thc,thc,contrib,0.27,CONFIRMED_PDL
2007-08-17_thd,thd,contrib,0.41,BOUNDARY_LAYER
2007-08-17_the,the,contrib,0.42,BOUNDARY_LAYER
2007-08-18_tha,tha,no_bg,0.58,
2007-08-18_thb,thb,no_shell,2.24,
2007-08-18_thc,thc,no_shell,2.24,
2007-08-18_thd,thd,no_shell,2.24,
2007-08-18_the,the,no_shell,2.24,
2007-08-19_tha,tha,contrib,2.83,AMBIGUOUS
2007-08-19_thb,thb,contrib,2.67,CONFIRMED_PDL
2007-08-19_thc,thc,contrib,2.73,CONFIRMED_PDL
2007-08-19_thd,thd,contrib,2.73,CONFIRMED_PDL
2007-08-19_the,the,contrib,2.73,CONFIRMED_PDL
2007-08-20_tha,tha,no_bg,1.05,
2007-08-20_thb,thb,no_bg,0.23,
2007-08-20_thc,thc,no_bg,0.23,
2007-08-20_thd,thd,no_bg,0.23,
2007-08-20_the,the,no_bg,0.23,
2007-08-21_tha,tha,no_bg,0.5,
2007-08-21_thb,thb,contrib,0.42,CONFIRMED_PDL
2007-08-21_thc,thc,contrib,0.41,CONFIRMED_PDL
2007-08-21_thd,thd,contrib,0.42,CONFIRMED_PDL
2007-08-21_the,the,contrib,0.42,AMBIGUOUS
2007-08-22_tha,tha,no_shell,2.32,
2007-08-22_thb,thb,contrib,2.32,CONFIRMED_PDL
2007-08-22_thc,thc,contrib,2.32,CONFIRMED_PDL
2007-08-22_thd,thd,contrib,2.32,CONFIRMED_PDL
2007-08-22_the,the,contrib,2.32,CONFIRMED_PDL
2007-08-23_tha,tha,no_bg,2.15,
2007-08-23_thb,thb,no_bg,2.25,
2007-08-23_thc,thc,no_bg,2.26,
2007-08-23_thd,thd,no_bg,2.24,
2007-08-23_the,the,no_bg,2.24,
2007-08-24_tha,tha,no_bg,1.51,
2007-08-24_thb,thb,no_bg,1.54,
2007-08-24_thc,thc,no_bg,1.54,
2007-08-24_thd,thd,no_bg,1.52,
2007-08-24_the,the,no_bg,1.51,
2007-08-25_tha,tha,contrib,-0.99,AMBIGUOUS
2007-08-25_thb,thb,contrib,-1.31,AMBIGUOUS
2007-08-25_thc,thc,contrib,-1.41,AMBIGUOUS
2007-08-25_thd,thd,contrib,-1.41,AMBIGUOUS
2007-08-25_the,the,contrib,-1.4,AMBIGUOUS
2007-08-26_tha,tha,no_shell,3.47,
2007-08-26_thb,thb,contrib,3.47,AMBIGUOUS
2007-08-26_thc,thc,contrib,3.47,AMBIGUOUS
2007-08-26_thd,thd,contrib,3.47,AMBIGUOUS
2007-08-26_the,the,contrib,3.47,CONFIRMED_PDL
2007-08-27_tha,tha,no_bg,1.69,
2007-08-27_thb,thb,contrib,3.6,AMBIGUOUS
2007-08-27_thc,thc,contrib,3.23,AMBIGUOUS
2007-08-27_thd,thd,contrib,3.08,CONFIRMED_PDL
2007-08-27_the,the,contrib,3.04,CONFIRMED_PDL
2007-08-28_tha,tha,no_bg,-1.68,
2007-08-28_thb,thb,no_bg,-2.08,
2007-08-28_thc,thc,no_bg,-2.01,
2007-08-28_the,the,no_bg,-2.01,
2007-08-29_tha,tha,no_bg,-0.67,
2007-08-29_thb,thb,no_bg,0.13,
2007-08-29_thc,thc,no_bg,0.12,
2007-08-29_thd,thd,no_bg,0.07,
2007-08-29_the,the,no_bg,0.06,
