eid,probe,bz,bz_sign,clock,cone,sza,dp,ma,bx,Dn_mem,EB_mem,n_near,beta_near,T_near,n_mem,cls
2007-08-08_tha,tha,0.07,1,86.5,25.2,15.4,1.15,11.7,-2.85,0.0949,3.2952,0.55,0.0795,647.8,202,BOUNDARY_LAYER
2007-08-09_tha,tha,1.26,1,68.1,57.1,15.7,1.84,11.4,-2.32,0.8514,2.2147,21.35,0.9786,164.9,41,CONFIRMED_PDL
2007-08-10_tha,tha,1.2,1,69.1,56.6,15.8,1.84,11.3,-2.37,1.1834,2.2647,29.68,1.0615,144.0,265,AMBIGUOUS
2007-08-11_tha,tha,-0.3,0,98.7,79.5,15.8,1.92,15.0,-0.6,0.5486,4.5966,5.92,0.4319,443.4,353,AMBIGUOUS
2007-08-11_thb,thb,0.38,1,81.7,81.0,16.0,2.02,12.3,-0.63,0.8955,1.3618,9.7,4.0804,481.8,30,AMBIGUOUS
2007-08-11_thc,thc,0.25,1,84.5,81.4,16.0,1.99,13.1,-0.56,0.0741,3.4887,0.93,0.1088,783.2,10,BOUNDARY_LAYER
2007-08-11_thd,thd,0.14,1,86.9,81.4,16.0,1.98,13.3,-0.55,0.064,3.4134,0.73,0.0892,868.4,17,BOUNDARY_LAYER
2007-08-12_tha,tha,-0.01,0,92.6,29.0,15.2,1.42,13.1,2.78,0.524,3.1595,6.15,0.4809,327.4,384,AMBIGUOUS
2007-08-12_thc,thc,-0.23,0,111.9,38.2,15.5,1.5,12.4,2.76,1.373,2.035,17.49,3.3521,253.2,14,AMBIGUOUS
2007-08-13_tha,tha,0.07,1,86.1,49.8,15.4,1.11,14.7,-1.66,0.2429,4.802,3.39,0.1196,164.4,47,AMBIGUOUS
2007-08-13_thb,thb,0.03,1,88.0,39.1,15.4,1.05,15.9,-1.77,0.1346,4.0183,1.69,0.08,209.9,22,BOUNDARY_LAYER
2007-08-13_thc,thc,0.06,1,86.2,42.5,15.5,1.06,15.6,-1.77,1.6133,2.684,24.93,1.1824,112.1,24,AMBIGUOUS
2007-08-13_thd,thd,0.12,1,82.4,44.2,15.6,1.07,15.5,-1.77,0.0568,4.9269,0.82,0.0603,360.4,8,BOUNDARY_LAYER
2007-08-15_tha,tha,-0.53,0,260.4,75.0,15.5,2.11,11.4,1.25,0.0668,4.9721,1.42,0.0654,438.1,121,BOUNDARY_LAYER
2007-08-15_thc,thc,-0.62,0,258.8,86.3,16.3,2.42,10.3,0.37,0.1217,2.1919,2.36,0.081,308.8,76,BOUNDARY_LAYER
2007-08-15_thd,thd,-0.63,0,259.1,85.7,15.8,2.4,10.2,0.43,0.1161,2.2257,2.11,0.0663,305.0,12,BOUNDARY_LAYER
2007-08-15_the,the,-0.63,0,259.1,85.7,15.9,2.4,10.2,0.43,0.1056,2.2817,1.96,0.0681,299.1,9,BOUNDARY_LAYER
2007-08-16_thb,thb,1.83,1,304.9,57.2,15.3,2.56,10.2,3.02,0.2262,2.963,4.77,0.1813,305.0,33,AMBIGUOUS
2007-08-16_thc,thc,2.09,1,309.4,52.1,15.5,2.54,10.2,3.42,0.5695,2.2192,16.39,0.3562,186.0,288,CONFIRMED_PDL
2007-08-16_thd,thd,2.12,1,310.2,50.5,15.3,2.54,10.3,3.54,0.6024,2.9145,13.69,0.248,195.0,29,CONFIRMED_PDL
2007-08-16_the,the,2.12,1,310.2,50.5,15.5,2.54,10.3,3.54,0.086,3.0098,1.93,0.0946,435.5,11,BOUNDARY_LAYER
2007-08-17_tha,tha,0.22,1,273.9,85.9,15.1,1.65,11.0,0.3,0.0663,2.3209,1.15,0.0664,384.6,198,BOUNDARY_LAYER
2007-08-17_thb,thb,0.38,1,275.5,84.5,15.0,1.55,9.7,0.43,0.1647,3.1891,2.47,0.0981,289.3,59,BOUNDARY_LAYER
2007-08-17_thc,thc,0.27,1,273.8,85.2,15.1,1.56,10.0,0.37,0.5784,2.1638,10.02,0.4852,210.8,28,CONFIRMED_PDL
2007-08-17_thd,thd,0.41,1,276.0,86.5,15.6,1.57,10.0,0.27,0.0784,2.4423,1.28,0.0775,356.0,31,BOUNDARY_LAYER
2007-08-17_the,the,0.42,1,276.1,86.6,15.8,1.57,10.0,0.27,0.1538,2.229,2.5,0.0903,286.3,39,BOUNDARY_LAYER
2007-08-19_tha,tha,2.83,1,324.4,43.7,15.3,1.67,7.7,4.34,0.9715,1.5537,20.87,0.6368,130.9,696,AMBIGUOUS
