eid,probe,status,n_near_spec,n_bg_spec,E_peak_near,E_peak_bg,peak_ratio,shape_corr,flux_ratio,note
2022-02-21_tha,tha,AMBIGUOUS_SPEC,911,1301,303.6,303.6,1.0,0.743,0.695,
2011-12-18_the,the,SHEATH_CONSISTENT,838,554,170.5,170.5,1.0,0.988,0.483,
2019-11-03_tha,tha,SHEATH_CONSISTENT,987,888,175.3,175.3,1.0,0.959,0.546,
2011-11-22_tha,tha,SHEATH_CONSISTENT,839,119,175.3,303.6,0.577,0.999,0.658,
2016-06-19_tha,tha,SHEATH_CONSISTENT,946,395,787.2,787.2,1.0,0.991,0.496,
2018-09-21_thd,thd,SHEATH_CONSISTENT,797,2672,170.9,170.9,1.0,0.994,0.48,
2024-04-18_tha,tha,SHEATH_CONSISTENT,790,3018,175.3,175.3,1.0,0.99,0.524,
2024-05-23_tha,tha,SHEATH_CONSISTENT,837,1845,175.3,303.6,0.577,0.881,0.866,
2007-08-22_the,the,SHEATH_CONSISTENT,791,3084,335.7,765.7,0.438,0.831,0.229,
2023-03-02_tha,tha,SHEATH_CONSISTENT,866,642,453.6,597.5,0.759,0.979,0.466,
2020-12-12_tha,tha,SHEATH_CONSISTENT,906,1927,303.6,303.6,1.0,0.96,0.393,
2023-04-04_tha,tha,SHEATH_CONSISTENT,756,3380,453.6,597.5,0.759,0.96,0.724,
2021-01-12_thd,thd,SHEATH_CONSISTENT,752,905,296.1,296.1,1.0,0.971,0.627,
2015-05-29_thd,thd,SHEATH_CONSISTENT,798,167,170.9,170.9,1.0,0.933,0.635,
2024-05-23_thd,thd,SHEATH_CONSISTENT,690,2509,296.1,296.1,1.0,0.953,0.568,
2023-04-17_tha,tha,SHEATH_CONSISTENT,705,108,175.3,175.3,1.0,0.997,0.683,
2007-08-22_thd,thd,SHEATH_CONSISTENT,795,2817,255.5,194.4,1.315,0.899,0.284,
2019-12-09_thd,thd,SHEATH_CONSISTENT,692,359,147.5,194.4,0.759,0.986,0.605,
2016-06-11_tha,tha,AMBIGUOUS_SPEC,667,3196,303.6,787.2,0.386,0.937,0.285,
2013-01-26_thd,thd,SHEATH_CONSISTENT,618,2029,336.6,336.6,1.0,0.95,0.93,
