dp,null_Dn,abs-700_Dn,abs-1000_Dn,abs-1300_Dn,norm-layer_Dn,dpcorr+_Dn,dpcorr-_Dn
1.15,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.84,1.0,1.0,1.0,1.0,0.5,1.0,0.5
1.84,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.92,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.025,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.99,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.98,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.98,1.0,1.0,1.0,1.0,0.5,1.0,0.5
1.42,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.51,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.11,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.05,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.06,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.07,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.07,1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.115,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.49,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.42,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.4,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.4,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.41,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.56,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.54,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.54,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.54,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.65,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.55,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.56,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.57,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.57,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.67,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.72,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.71,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.69,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.69,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.82,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.76,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.74,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.72,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.35,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.35,1.0,1.0,1.0,1.0,0.5,1.0,0.5
1.35,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.35,1.0,1.0,1.0,1.0,0.5,0.5,1.0
3.29,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.97,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.855,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.81,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.8,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.65,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.65,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.65,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.65,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.265,1.0,1.0,1.0,1.0,0.5,1.0,0.5
2.905,1.0,1.0,1.0,1.0,0.5,1.0,0.5
2.84,1.0,1.0,1.0,1.0,0.5,1.0,0.5
2.83,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.54,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.21,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.21,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.01,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.14,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.14,1.0,1.0,1.0,1.0,0.5,1.0,0.5
5.63,1.0,1.0,1.0,1.0,0.5,1.0,1.0
6.94,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.24,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.06,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.91,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.3,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.41,1.0,1.0,1.0,1.0,0.5,0.5,1.0
0.84,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.02,1.0,1.0,1.0,1.0,0.5,1.0,1.0
0.82,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.55,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.87,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.16,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.61,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.61,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.46,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.62,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.42,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.44,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.44,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.6,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.65,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.69,1.0,1.0,1.0,1.0,0.5,0.5,1.0
