eid,probe,cls,spec,Dn_mem,EB_mem,beta_near,T_near,n_mem,R_PB,R_Pth,R_stat,R_Pdyn,R_Ptot,R_v,r_nB,n_in,xcheck
2007-08-08_tha,tha,BOUNDARY_LAYER,,0.0949,3.2952,0.0795,647.8,202,10.859,0.171,1.82,0.011,1.134,0.316,-0.829,992,1.0
2007-08-09_tha,tha,CONFIRMED_PDL,SHAPE_FLAG,0.8514,2.2147,0.9786,164.9,41,4.905,0.701,1.238,0.631,1.04,0.907,-0.669,994,1.0
2007-08-10_tha,tha,AMBIGUOUS,,1.1834,2.2647,1.0615,144.0,265,5.129,0.866,1.423,0.618,1.163,0.748,-0.44,1218,1.0
2007-08-11_tha,tha,AMBIGUOUS,,0.5486,4.5966,0.4319,443.4,353,21.129,0.488,1.503,0.087,1.084,0.472,-0.799,1294,1.0
2007-08-11_thb,thb,AMBIGUOUS,,0.8955,1.3618,4.0804,481.8,30,1.872,1.042,1.134,1.017,1.133,1.102,-0.648,145,1.0
2007-08-11_thc,thc,BOUNDARY_LAYER,,0.0741,3.4887,0.1088,783.2,10,12.171,0.126,1.158,0.011,0.784,0.421,-0.804,124,1.0
2007-08-11_thd,thd,BOUNDARY_LAYER,,0.064,3.4134,0.0892,868.4,17,11.652,0.123,1.338,0.005,0.895,0.284,-0.816,127,1.0
2007-08-12_tha,tha,AMBIGUOUS,,0.524,3.1595,0.4809,327.4,384,9.982,0.563,1.618,0.237,1.353,0.902,-0.75,986,1.0
2007-08-12_thc,thc,AMBIGUOUS,,1.373,2.035,3.3521,253.2,14,4.141,1.115,1.331,0.271,1.015,0.632,-0.808,59,1.0
2007-08-13_tha,tha,AMBIGUOUS,,0.2429,4.802,0.1196,164.4,47,23.059,0.262,2.187,0.188,1.917,1.151,-0.662,496,1.0
2007-08-13_thb,thb,BOUNDARY_LAYER,,0.1346,4.0183,0.08,209.9,22,16.147,0.182,2.162,0.179,1.799,0.907,-0.764,55,1.0
2007-08-13_thc,thc,AMBIGUOUS,,1.6133,2.684,1.1824,112.1,24,7.204,0.921,1.626,1.166,1.531,1.196,-0.913,43,1.0
2007-08-13_thd,thd,BOUNDARY_LAYER,,0.0568,4.9269,0.0603,360.4,8,24.269,0.129,2.03,0.234,1.75,1.46,-0.895,46,1.0
2007-08-15_tha,tha,BOUNDARY_LAYER,,0.0668,4.9721,0.0654,438.1,121,24.722,0.146,1.888,0.006,1.051,0.333,-0.88,712,1.0
2007-08-15_thc,thc,BOUNDARY_LAYER,,0.1217,2.1919,0.081,308.8,76,4.804,0.266,2.043,0.015,1.559,0.361,-0.722,141,1.0
2007-08-15_thd,thd,BOUNDARY_LAYER,,0.1161,2.2257,0.0663,305.0,12,4.954,0.242,2.187,0.012,1.641,0.313,-0.794,76,1.0
2007-08-15_the,the,BOUNDARY_LAYER,,0.1056,2.2817,0.0681,299.1,9,5.206,0.218,2.078,0.01,1.46,0.311,-0.894,73,1.0
2007-08-16_thb,thb,AMBIGUOUS,,0.2262,2.963,0.1813,305.0,33,8.779,0.333,1.762,0.064,1.301,0.492,-0.914,133,1.0
2007-08-16_thc,thc,CONFIRMED_PDL,AMBIGUOUS_SPEC,0.5695,2.2192,0.3562,186.0,288,4.925,0.447,1.36,0.189,0.936,0.512,-0.73,981,1.0
2007-08-16_thd,thd,CONFIRMED_PDL,HOT_BOUNDARY_FLAG,0.6024,2.9145,0.248,195.0,29,8.494,0.415,1.692,0.195,1.241,0.559,-0.795,135,1.0
2007-08-16_the,the,BOUNDARY_LAYER,,0.086,3.0098,0.0946,435.5,11,9.059,0.161,1.529,0.048,1.098,0.61,-0.833,116,1.0
2007-08-17_tha,tha,BOUNDARY_LAYER,,0.0663,2.3209,0.0664,384.6,198,5.387,0.13,1.516,0.025,1.241,0.617,-0.928,1188,1.0
2007-08-17_thb,thb,BOUNDARY_LAYER,,0.1647,3.1891,0.0981,289.3,59,10.17,0.232,2.107,0.057,1.777,0.682,-0.866,190,1.0
2007-08-17_thc,thc,CONFIRMED_PDL,HOT_BOUNDARY_FLAG,0.5784,2.1638,0.4852,210.8,28,4.707,0.622,1.535,0.226,1.299,0.743,-0.919,957,1.0
2007-08-17_thd,thd,BOUNDARY_LAYER,,0.0784,2.4423,0.0775,356.0,31,5.965,0.161,1.625,0.109,1.412,0.954,-0.903,168,1.0
2007-08-17_the,the,BOUNDARY_LAYER,,0.1538,2.229,0.0903,286.3,39,4.969,0.174,1.49,0.15,1.285,0.991,-0.87,175,1.0
2007-08-19_tha,tha,AMBIGUOUS,,0.9715,1.5537,0.6368,130.9,696,2.414,0.959,1.516,0.563,1.352,0.774,-0.647,1735,1.0
2007-08-19_thb,thb,CONFIRMED_PDL,HOT_BOUNDARY_FLAG,0.4758,2.1514,0.1696,103.2,48,4.629,0.345,1.63,0.219,1.349,0.706,-0.776,171,1.0
2007-08-19_thc,thc,CONFIRMED_PDL,HOT_BOUNDARY_FLAG,0.5519,1.9411,0.2323,112.0,78,3.768,0.501,1.615,0.489,1.408,0.889,-0.911,210,1.0
2007-08-19_thd,thd,CONFIRMED_PDL,SHEATH_CONSISTENT,0.6792,1.7965,0.2359,109.6,78,3.227,0.546,1.698,0.472,1.486,0.817,-0.908,210,1.0
2007-08-19_the,the,CONFIRMED_PDL,SHEATH_CONSISTENT,0.7803,1.7737,0.2529,108.2,64,3.146,0.609,1.645,0.496,1.435,0.788,-0.869,195,1.0
2007-08-21_thb,thb,CONFIRMED_PDL,AMBIGUOUS_SPEC,0.773,2.8887,1.1236,133.2,85,8.341,0.601,1.077,0.147,0.807,0.444,-0.915,214,1.0
2007-08-21_thc,thc,CONFIRMED_PDL,HOT_BOUNDARY_FLAG,0.8609,2.1712,1.653,126.5,87,4.714,0.794,1.138,0.202,0.892,0.477,-0.845,217,1.0
2007-08-21_thd,thd,CONFIRMED_PDL,HOT_BOUNDARY_FLAG,0.8529,2.2566,1.3726,124.0,85,5.089,0.766,1.18,0.144,0.869,0.407,-0.766,217,1.0
2007-08-21_the,the,AMBIGUOUS,,0.93,2.2786,1.935,133.1,83,5.192,0.77,1.088,0.16,0.816,0.403,-0.745,212,1.0
2007-08-22_thb,thb,CONFIRMED_PDL,AMBIGUOUS_SPEC,0.6394,3.1886,0.4399,129.4,603,10.167,0.463,1.359,0.163,1.064,0.54,-0.912,1764,1.0
2007-08-22_thc,thc,CONFIRMED_PDL,AMBIGUOUS_SPEC,0.7531,2.7925,0.8293,117.8,345,7.798,0.587,1.142,0.315,0.925,0.644,-0.889,1572,1.0
2007-08-22_thd,thd,CONFIRMED_PDL,SHEATH_CONSISTENT,0.6074,3.1977,0.4355,114.4,664,10.225,0.436,1.306,0.225,1.052,0.63,-0.903,1869,1.0
2007-08-22_the,the,CONFIRMED_PDL,SHEATH_CONSISTENT,0.4018,3.6272,0.2429,119.1,737,13.157,0.317,1.395,0.161,1.059,0.666,-0.922,1954,1.0
2007-08-25_tha,tha,AMBIGUOUS,,3.8764,3.5307,2.0004,126.3,101,12.466,4.074,5.281,0.249,1.011,0.237,0.009,273,1.0
2007-08-25_thb,thb,AMBIGUOUS,,0.9804,1.7454,1.0911,121.7,491,3.046,0.824,1.224,0.207,0.956,0.484,-0.688,1223,1.0
2007-08-25_thc,thc,AMBIGUOUS,,0.7655,1.7052,1.1127,132.6,487,2.908,0.713,1.116,0.158,0.823,0.452,-0.662,1221,1.0
2007-08-25_thd,thd,AMBIGUOUS,,0.7315,1.7991,0.862,125.6,474,3.237,0.683,1.148,0.134,0.839,0.428,-0.759,1175,1.0
2007-08-25_the,the,AMBIGUOUS,,0.715,1.7898,0.917,132.8,492,3.203,0.668,1.099,0.134,0.801,0.434,-0.844,1202,1.0
2007-08-26_thb,thb,AMBIGUOUS,,0.254,1.8808,0.1957,309.3,454,3.537,0.255,1.115,0.09,0.697,0.578,-0.873,1174,1.0
2007-08-26_thc,thc,AMBIGUOUS,,0.2597,1.8662,0.2222,413.3,384,3.483,0.417,1.179,0.048,0.674,0.508,-0.757,1131,1.0
2007-08-26_thd,thd,AMBIGUOUS,,0.2949,1.8089,0.2185,354.0,365,3.272,0.429,1.265,0.064,0.77,0.527,-0.623,1105,1.0
2007-08-26_the,the,CONFIRMED_PDL,AMBIGUOUS_SPEC,0.5904,1.6306,0.4228,291.8,421,2.659,0.667,1.284,0.267,0.856,0.722,-0.559,1126,1.0
2007-08-27_thb,thb,AMBIGUOUS,,0.3127,1.7442,0.2285,264.6,505,3.042,0.248,0.953,0.128,0.659,0.644,-0.835,1288,1.0
2007-08-27_thc,thc,AMBIGUOUS,,0.3852,1.6601,0.2783,207.0,556,2.756,0.278,0.936,0.186,0.635,0.692,-0.884,1384,1.0
2007-08-27_thd,thd,CONFIRMED_PDL,SHEATH_CONSISTENT,0.4205,1.5451,0.2715,207.5,534,2.387,0.322,1.015,0.22,0.724,0.725,-0.893,1368,1.0
2007-08-27_the,the,CONFIRMED_PDL,SHEATH_CONSISTENT,0.4759,1.3515,0.283,232.5,526,1.826,0.463,1.082,0.312,0.832,0.785,-0.902,1354,1.0
