encounter_id,probe,date,Dn_1d,Dn_radial,Dn_shift,EB_1d,EB_radial
2007-08-08_tha,tha,2007-08-08,0.657700,0.160500,-0.497200,2.404500,2.864000
2007-08-10_tha,tha,2007-08-10,1.122600,1.061700,-0.060900,1.724700,1.962500
2007-08-11_thc,thc,2007-08-11,1.081300,1.015400,-0.065900,1.108900,1.261900
2007-08-11_thd,thd,2007-08-11,1.030800,0.967300,-0.063500,1.036300,1.352300
2007-08-12_tha,tha,2007-08-12,0.031800,0.080200,0.048400,3.116800,2.834300
2007-08-12_thc,thc,2007-08-12,0.084000,0.033400,-0.050600,3.600100,3.585700
2007-08-09_tha,tha,2007-08-09,1.140800,1.078500,-0.062300,1.750800,1.990800
2007-08-12_thd,thd,2007-08-12,0.050000,0.033900,-0.016100,3.583500,3.576400
2007-08-13_thb,thb,2007-08-13,0.023100,0.011000,-0.012100,3.599600,3.483800
2007-08-13_thd,thd,2007-08-13,0.010400,0.010200,-0.000200,3.821000,4.235400
2007-08-13_the,the,2007-08-13,0.015700,0.013100,-0.002600,4.329600,3.466600
2007-08-11_thb,thb,2007-08-11,1.127000,1.083700,-0.043300,1.437700,1.638500
2007-08-11_tha,tha,2007-08-11,1.291800,1.309900,0.018100,2.314700,2.490400
2007-08-15_tha,tha,2007-08-15,0.060300,0.139900,0.079600,3.978400,3.910900
2007-08-15_thb,thb,2007-08-15,1.742700,1.679600,-0.063100,0.726000,0.863500
2007-08-12_thb,thb,2007-08-12,0.838600,0.127800,-0.710800,2.996900,3.591900
2007-08-15_thc,thc,2007-08-15,1.353200,1.353600,0.000400,1.456500,1.460300
2007-08-15_the,the,2007-08-15,1.532100,0.149400,-1.382700,0.960000,2.147200
2007-08-13_thc,thc,2007-08-13,0.016400,0.010000,-0.006400,3.564000,3.642700
2007-08-13_tha,tha,2007-08-13,0.030900,0.023400,-0.007500,4.318000,3.884600
2007-08-16_thb,thb,2007-08-16,0.122900,0.905800,0.782900,2.660600,2.170700
2007-08-16_thc,thc,2007-08-16,0.759100,0.870200,0.111100,1.973200,1.617300
2007-08-16_thd,thd,2007-08-16,0.021100,0.939000,0.917900,3.338300,2.056200
2007-08-17_thc,thc,2007-08-17,0.030600,0.990800,0.960200,2.989500,1.676700
2007-08-11_the,the,2007-08-11,1.054900,0.172400,-0.882500,0.919200,3.272400
2007-08-19_thb,thb,2007-08-19,0.029000,0.793600,0.764600,3.436600,1.756800
2007-08-15_thd,thd,2007-08-15,1.383600,0.291700,-1.091900,1.376000,2.062100
2007-08-19_thd,thd,2007-08-19,0.029500,0.948700,0.919200,2.834400,1.387300
2007-08-19_the,the,2007-08-19,0.031000,1.029300,0.998300,2.903800,1.381300
2007-08-16_tha,tha,2007-08-16,0.018600,0.614500,0.595900,2.907000,2.219200
2007-08-17_thb,thb,2007-08-17,0.069600,1.010500,0.940900,4.054800,2.037100
2007-08-17_tha,tha,2007-08-17,0.044400,1.030500,0.986100,2.776400,1.507900
