eid,sza_med,Dn_1d,Dn_radial,dDn,EB_1d,EB_radial
2007-08-08_tha,15.417819418249039,0.6577,0.1605,-0.4972,2.4045,2.864
2007-08-10_tha,15.752343246925221,1.1226,1.0617,-0.060899999999999954,1.7247,1.9625
2007-08-11_thc,16.023938743055304,1.0813,1.0154,-0.06589999999999985,1.1089,1.2619
2007-08-11_thd,15.97801896209619,1.0308,0.9673,-0.06349999999999989,1.0363,1.3523
2007-08-12_tha,15.156220166272364,0.0318,0.0802,0.04839999999999999,3.1168,2.8343
2007-08-12_thc,15.505922928301965,0.084,0.0334,-0.050600000000000006,3.6001,3.5857
2007-08-09_tha,15.728814313871096,1.1408,1.0785,-0.06230000000000002,1.7508,1.9908
2007-08-12_thd,15.446323148434997,0.05,0.0339,-0.016100000000000003,3.5835,3.5764
2007-08-13_thb,15.448874573263767,0.0231,0.011,-0.0121,3.5996,3.4838
2007-08-13_thd,15.558823548312212,0.0104,0.0102,-0.0001999999999999988,3.821,4.2354
2007-08-13_the,15.612290783814132,0.0157,0.0131,-0.002599999999999998,4.3296,3.4666
2007-08-11_thb,16.016530256696427,1.127,1.0837,-0.043299999999999894,1.4377,1.6385
2007-08-11_tha,15.770123135319617,1.2918,1.3099,0.018100000000000005,2.3147,2.4904
2007-08-15_tha,15.539742675905474,0.0603,0.1399,0.0796,3.9784,3.9109
2007-08-15_thb,15.787127799047447,1.7427,1.6796,-0.06309999999999993,0.726,0.8635
2007-08-12_thb,15.542715220376087,0.8386,0.1278,-0.7108,2.9969,3.5919
2007-08-15_thc,16.259409294072604,1.3532,1.3536,0.00039999999999995595,1.4565,1.4603
2007-08-15_the,15.879631476287528,1.5321,0.1494,-1.3827,0.96,2.1472
2007-08-13_thc,15.497249423262186,0.0164,0.01,-0.006400000000000001,3.564,3.6427
2007-08-13_tha,15.438507015729437,0.0309,0.0234,-0.0075,4.318,3.8846
2007-08-16_thb,15.277901594588098,0.1229,0.9058,0.7829,2.6606,2.1707
2007-08-16_thc,15.541610479359385,0.7591,0.8702,0.11109999999999998,1.9732,1.6173
2007-08-16_thd,15.288916331712961,0.0211,0.939,0.9178999999999999,3.3383,2.0562
2007-08-17_thc,15.0639481385307,0.0306,0.9908,0.9602,2.9895,1.6767
2007-08-11_the,16.111291787908797,1.0549,0.1724,-0.8825,0.9192,3.2724
2007-08-19_thb,15.96821337126184,0.029,0.7936,0.7646,3.4366,1.7568
2007-08-15_thd,15.764561288498529,1.3836,0.2917,-1.0918999999999999,1.376,2.0621
