eid,grp,dn,eb,cov,mp_med,mp_rng,bs_rng,swap,mp0_stored,dp_stored,dp_omni_med
2007-08-08_tha,NONCAND,0.0949,3.2952,0.935933147632312,11.15785387575944,1.0824291652456797,1.4083629683577072,False,11.16202205252105,1.149999976158142,1.149999976158142
2007-08-09_tha,REJ,0.8514,2.2147,0.7437325905292479,10.424886095438287,1.14884867131253,1.535786755644601,False,10.40889199646618,1.840000033378601,1.8300000429153442
2007-08-10_tha,NONCAND,1.1834,2.2647,0.7333333333333333,10.421459950831206,1.14884867131253,1.535786755644601,False,10.40818083162982,1.840000033378601,1.840000033378601
2007-08-11_tha,NONCAND,0.5486,4.5966,0.7994428969359332,10.27197840340804,0.9883073630550285,1.0933275175861397,False,10.289101160929812,1.9199999570846558,1.940000057220459
2007-08-11_thb,NONCAND,0.8955,1.3618,0.8635097493036211,10.218429006384149,1.1539953664427038,1.5345963491771872,False,10.24861010180323,2.024999976158142,2.009999990463257
2007-08-11_thc,NONCAND,0.0741,3.4887,0.8857938718662952,10.244974881314528,1.1335148585491321,1.5345963491771872,False,10.274196704474083,1.9900000095367432,1.9800000190734863
2007-08-11_thd,NONCAND,0.064,3.4134,0.8690807799442897,10.262455141951072,1.1335148585491321,1.5345963491771872,False,10.280752609587575,1.9800000190734863,1.9600000381469727
2007-08-12_thc,NONCAND,1.373,2.035,0.8969359331476323,10.707058795997062,1.45447574933206,1.4047825634798397,False,10.691106906249848,1.5,1.5
2007-08-13_thb,NONCAND,0.1346,4.0183,0.83008356545961,11.314981515768121,0.9527973484095327,1.2932443746164317,False,11.316424014680857,1.0499999523162842,1.0499999523162842
2007-08-13_thc,NONCAND,1.6133,2.684,0.8161559888579387,11.277622930173491,0.9527973484095327,1.2932443746164317,False,11.300569920025248,1.059999942779541,1.0700000524520874
2007-08-15_tha,NONCAND,0.0668,4.9721,0.8444444444444444,10.09944475074062,2.185313925623671,3.0414205796297633,False,10.110658494034217,2.1149998903274536,2.140000104904175
