RUN 2b — standoff-error + bootstrap robustness (load-once, threaded)
mp0 offset in R_E; bs scale multiplies the Jelinek standoff; boot95 = encounter-bootstrap 95% CI.

=== Dn robustness (sheath_geom) ===
shell             N     nom           boot95  mp0-0.8  mp0+0.8   bs*0.9   bs*1.1
[0.00,0.05]    639   0.146 [ 0.111, 0.185]    0.032    1.125    0.108    0.617
[0.05,0.10]    675   0.459 [ 0.323, 0.646]    0.033    1.156    0.211    1.098
[0.10,0.15]    702   0.795 [ 0.694, 0.867]    0.042    1.188    0.404    1.423
[0.15,0.20]    719   0.901 [ 0.855, 0.961]    0.062    1.183    0.644    1.591
[0.20,0.30]    792   1.040 [ 1.001, 1.075]    0.434    1.172    0.784    2.100
[0.30,0.40]    867   1.096 [ 1.068, 1.122]    0.926    1.156    0.917    2.029
[0.40,0.50]    942   1.099 [ 1.071, 1.116]    1.037    1.140    0.966    1.752
[0.50,0.60]   1012   1.064 [ 1.049, 1.077]    1.049    1.096    0.996    1.351
[0.60,0.80]   1120   1.000 [ 1.000, 1.000]    1.000    1.000    1.000    1.000
[0.80,1.00]    673   0.956 [ 0.945, 0.968]    0.954    0.958    1.000    0.967

=== EB robustness (sheath_geom) ===
shell             N     nom           boot95  mp0-0.8  mp0+0.8   bs*0.9   bs*1.1
[0.00,0.05]    639   2.601 [ 2.488, 2.821]    3.011    1.821    2.015    3.980
[0.05,0.10]    675   2.418 [ 2.290, 2.552]    2.924    1.732    1.912    3.470
[0.10,0.15]    702   2.142 [ 2.040, 2.283]    2.799    1.619    1.829    3.215
[0.15,0.20]    719   1.957 [ 1.869, 2.036]    2.594    1.533    1.720    2.733
[0.20,0.30]    792   1.671 [ 1.616, 1.729]    2.245    1.437    1.555    2.445
[0.30,0.40]    867   1.409 [ 1.375, 1.450]    1.736    1.351    1.370    2.086
[0.40,0.50]    942   1.285 [ 1.252, 1.312]    1.376    1.247    1.225    1.733
[0.50,0.60]   1012   1.160 [ 1.137, 1.183]    1.180    1.147    1.119    1.283
[0.60,0.80]   1120   1.000 [ 1.000, 1.000]    1.000    1.000    1.005    1.000
[0.80,1.00]    673   0.947 [ 0.936, 0.958]    0.938    0.957    0.970    0.975
