RUN 2c — realistic per-encounter random standoff MC (NMC=200, SIG_MP=0.8 R_E, SIG_BS=0.1; threaded)

=== Dn — realistic per-encounter model-error band (random mp0/BS) ===
shell           median    p2.5   p97.5
[0.00,0.05]     0.180   0.126   0.275
[0.05,0.10]     0.321   0.209   0.489
[0.10,0.15]     0.561   0.432   0.676
[0.15,0.20]     0.740   0.647   0.819
[0.20,0.30]     0.892   0.850   0.931
[0.30,0.40]     0.983   0.959   1.005
[0.40,0.50]     1.020   1.002   1.036
[0.50,0.60]     1.027   1.015   1.039
[0.60,0.80]     1.000   1.000   1.000
[0.80,1.00]     0.994   0.987   0.998

=== EB — realistic per-encounter model-error band (random mp0/BS) ===
shell           median    p2.5   p97.5
[0.00,0.05]     2.058   1.962   2.164
[0.05,0.10]     1.976   1.891   2.071
[0.10,0.15]     1.881   1.794   1.981
[0.15,0.20]     1.779   1.701   1.861
[0.20,0.30]     1.629   1.564   1.696
[0.30,0.40]     1.431   1.382   1.493
[0.40,0.50]     1.276   1.245   1.308
[0.50,0.60]     1.149   1.130   1.168
[0.60,0.80]     1.000   1.000   1.000
[0.80,1.00]     0.964   0.957   0.972
