eid,grp,cone28,cone_omni_med,cone_iqr,n_min
2007-08-08_tha,NONCAND,25.2,24.248949678541955,8.307034181590108,359
2007-08-09_tha,REJ,57.1,55.94739812466338,28.644687485623976,337
2007-08-10_tha,NONCAND,56.6,55.99876702857368,28.253580225679116,338
2007-08-11_thb,NONCAND,81.0,74.04993349039916,21.696942726138218,348
2007-08-11_thc,NONCAND,81.4,74.06903706615645,19.302570341492725,353
2007-08-11_thd,NONCAND,81.4,73.97043843291917,19.753373423969634,351
2007-08-13_thb,NONCAND,39.1,26.766264247390858,25.45670532270939,347
2007-08-13_thc,NONCAND,42.5,26.0273023064602,27.98280305708072,345
2007-08-16_thb,NONCAND,57.2,49.673451095129664,34.75232572835411,333
2007-08-16_thd,REJ,50.5,45.419555145535945,35.42888581239107,337
2007-08-16_the,NONCAND,50.5,45.419555145535945,35.42888581239107,337
2007-08-17_tha,NONCAND,85.9,74.5592454504854,21.22955050379023,354
2007-08-17_thb,NONCAND,84.5,76.58931123755767,31.766406905026457,354
2007-08-17_thc,REJ,85.2,77.53343798778592,19.172868959273814,354
2007-08-19_tha,NONCAND,43.7,40.19289230777579,45.311295873218725,352
2007-08-19_thb,REJ,83.5,70.71789811513457,31.242348883322713,354
2007-08-19_thc,REJ,78.0,70.70218827171011,35.49141638738642,355
2007-08-19_thd,A,76.5,70.71789811513457,36.26655145164489,354
2007-08-19_the,A,76.4,70.71789811513457,36.54958632492354,354
2007-08-21_thb,BORD,73.4,59.61854005573136,49.85940068842662,279
2007-08-21_thc,REJ,72.1,56.11700222038338,50.74393524843026,282
2007-08-21_thd,REJ,72.7,55.31121637419858,49.58867147063306,292
2007-08-21_the,NONCAND,79.0,55.15190385273097,49.300084748083826,294
2007-08-22_thb,BORD,87.2,79.71607656528184,12.049790613865383,308
2007-08-22_thc,BORD,87.2,79.17782113993388,11.597145864783187,283
2007-08-22_the,A,87.2,78.17008901910744,13.27504989164406,353
2007-08-26_thb,NONCAND,60.3,54.75632041903571,22.51675822511718,249
2007-08-26_thc,NONCAND,60.3,57.446995304118175,22.43575931563889,337
2007-08-26_thd,NONCAND,60.3,57.446995304118175,22.43575931563889,337
2007-08-26_the,BORD,60.3,57.446995304118175,22.43575931563889,337
2007-08-27_thb,NONCAND,62.8,51.3269086520591,15.064885693945925,149
2007-08-27_thc,NONCAND,55.0,58.06762886764516,19.81589199492592,253
2007-08-27_thd,A,54.3,58.30891751717757,19.120305888486413,241
2007-08-27_the,A,53.5,59.50528504414229,18.79438982966846,248
2007-08-30_tha,NONCAND,46.1,42.123608943403916,35.58793921080424,357
2008-06-14_thc,NONCAND,74.1,61.91454115648747,27.023518833770147,294
2008-06-28_thb,NONCAND,76.9,74.45156907705241,13.228693753921263,359
2008-07-10_thc,NONCAND,80.6,78.87098433734258,14.519823094308663,351
2008-07-16_thc,NONCAND,76.9,50.04379720176736,21.134807238726268,356
2008-07-20_thc,NONCAND,88.7,54.490410987071016,23.415788069623986,307
2008-08-26_thc,NONCAND,59.1,60.752948060900266,13.564508277045576,360
2008-08-28_thb,A,65.4,63.81591762276572,28.444925520564198,354
2008-08-28_thc,A,65.4,63.80614576204225,28.37686771110723,355
2008-08-30_thc,NONCAND,73.0,58.217047943326016,36.4451442832067,351
2008-09-03_thc,NONCAND,55.6,42.65509226353341,24.547924230918845,343
2008-09-06_thc,NONCAND,55.5,50.65046052009967,23.322969154064403,360
2008-09-07_thc,A,59.8,53.14309771337436,18.7071104371692,358
2008-09-09_thb,NONCAND,49.4,47.492156714501604,22.991123821305187,358
2008-09-09_thc,NONCAND,49.4,47.492156714501604,22.991123821305187,358
2008-09-10_thc,NONCAND,58.1,51.201723552853196,12.056314803427803,350
2008-09-12_thb,REJ,49.5,46.83557303545908,23.00169490369923,358
2008-09-20_thb,REJ,43.0,38.88655164341968,32.87402959509623,342
2008-09-20_thc,NONCAND,44.4,41.519698148815614,30.805756896284457,341
2008-09-21_thb,REJ,38.7,34.058942475055474,27.47710455111003,343
2008-09-24_thb,REJ,85.9,74.23102648922863,29.784059620947325,353
2008-09-25_thb,REJ,85.9,74.30700508881083,29.798409137480533,355
2008-09-28_thb,REJ,53.1,53.7988941168725,7.024246523111081,350
2008-09-29_thb,REJ,53.5,53.90361534078267,6.425703129585088,333
2008-09-30_thc,NONCAND,37.7,35.28839253388856,32.239796952113124,358
2009-06-23_thb,A,78.3,75.87304196249104,10.34517000148648,352
2009-07-17_thb,REJ,72.2,62.62576587566677,18.93514959249783,317
2009-07-21_thb,NONCAND,88.9,85.5705933186609,4.969606277461523,359
2009-07-23_thc,NONCAND,63.6,58.1673165162528,41.79285114763704,352
2009-07-25_thb,NONCAND,22.2,20.452023039729283,11.500732615637803,358
2009-07-30_thc,NONCAND,49.2,50.63947251247131,13.21561528288504,345
2009-08-05_thc,A,72.2,71.41406335179029,13.336932652599401,333
2009-08-07_thc,NONCAND,59.5,57.0096915238353,36.23704636858061,332
2009-08-30_tha,NONCAND,67.4,61.934188810141535,25.1390581715727,114
2009-09-14_tha,NONCAND,67.8,63.307913724772355,19.252418438486075,347
2009-09-16_tha,NONCAND,64.5,62.92481356951881,23.791601711587347,359
2009-09-17_tha,NONCAND,72.3,64.0575429602828,34.39087747276459,357
2009-09-25_thc,NONCAND,69.7,60.62170705274,20.30407717135867,353
2009-10-12_thb,NONCAND,70.3,64.62515252294948,41.36847746795461,341
2009-10-13_thc,A,62.3,52.29615958816857,21.563250175763372,188
2009-10-20_thc,NONCAND,66.1,57.276574212913346,24.90244193786299,322
2009-11-13_tha,NONCAND,74.7,71.13050998005711,21.81769904188168,321
2010-10-23_tha,NONCAND,53.6,52.488542019088115,30.744949689101375,357
2010-10-23_thd,NONCAND,57.3,52.62808884134488,32.722968475381734,355
2010-10-23_the,NONCAND,53.4,52.126365672283214,30.57781352054542,358
2011-11-22_tha,A,84.6,74.06747548246004,15.372007896639502,332
2011-11-22_thd,NONCAND,84.8,74.02095036873544,15.438253252430528,334
2012-12-30_tha,NONCAND,65.3,66.93695295088841,15.52833054262888,354
2013-01-26_thd,A,71.2,70.76048008543228,28.08648401536901,344
2014-02-16_tha,NONCAND,81.6,76.31891096671312,10.182893700856255,351
2014-02-19_the,NONCAND,63.6,60.589853851910455,13.206791325193976,309
2014-02-28_tha,NONCAND,60.6,60.110904689901524,8.950718926502383,329
2014-03-26_the,NONCAND,88.9,78.06015085669435,14.49993557071356,330
2015-03-16_tha,NONCAND,53.6,51.344751636279,7.344275962060671,345
2015-04-20_thd,NONCAND,62.3,62.31855013963634,23.76919656797412,355
2015-04-20_the,NONCAND,48.5,49.17815135675042,32.070432568401074,354
2015-04-21_tha,NONCAND,58.1,54.300238053047515,30.640979867246728,358
2015-05-01_tha,NONCAND,62.8,62.84577665730795,13.853227006068053,338
2015-05-01_thd,NONCAND,61.1,60.49099566402799,18.903748227969665,326
2015-05-01_the,NONCAND,63.3,62.27855483566732,14.663260169200889,337
2015-05-07_thd,NONCAND,69.8,46.3115650103739,16.467535560973857,278
2015-05-29_tha,REJ,73.0,74.78270778275218,23.223426091914945,343
2015-05-29_thd,A,74.3,75.75220634165404,23.314038755141908,337
2015-05-29_the,NONCAND,72.1,74.78270778275218,23.223426091914945,343
2016-06-11_tha,BORD,54.4,57.517557386671626,26.88357630402519,353
