RUN 7 — magnetosheath-membership screen (T + v + n + position)
membership: geometry-sheath & n>0.3 & T in [T_bg/3,T_bg*3] & v>0.2*v_bg

shell             N  Dn_all   T/Tbg   v/vbg   mem%  Dn_mem  EB_mem
[0.00,0.05]    639   0.146    2.07    0.37    47%   0.653   2.221
[0.05,0.10]    675   0.459    1.34    0.46    71%   0.822   2.139
[0.10,0.15]    702   0.795    1.14    0.50    90%   0.914   1.987
[0.15,0.20]    719   0.901    1.07    0.54    96%   0.961   1.817
[0.20,0.30]    792   1.040    1.00    0.60    99%   1.068   1.605
[0.30,0.40]    867   1.096    1.01    0.66   100%   1.102   1.382
[0.40,0.50]    942   1.099    1.00    0.74   100%   1.100   1.269
[0.50,0.60]   1012   1.064    1.01    0.82   100%   1.065   1.153
[0.60,0.80]   1120   1.000    1.00    1.00   100%   1.003   1.002
[0.80,1.00]    672   0.955    0.99    1.06    96%   0.984   0.983
