category,rank,eid,probe,date,t_start,t_end,t0_epoch,t1_epoch,Dn_mem,EB_mem,n_mem,bz,cone,sza,dp
PDL,1,2023-03-10_tha,tha,2023-03-10,2023-03-10T01:13:00Z,2023-03-10T07:12:58Z,1678410781.0,1678432378.1,0.046,1.74,26,0.5,64.9,10.7,1.51
PDL,2,2023-03-10_thd,thd,2023-03-10,2023-03-10T00:05:02Z,2023-03-10T06:04:59Z,1678406702.8,1678428299.6,0.053,1.678,107,0.5,63.9,9.9,1.49
PDL,3,2007-08-11_thd,thd,2007-08-11,2007-08-11T02:52:14Z,2007-08-11T08:51:55Z,1186800734.0,1186822315.0,0.064,3.413,17,0.1,81.4,16.0,1.98
PDL,4,2007-08-17_tha,tha,2007-08-17,2007-08-17T19:34:01Z,2007-08-18T01:33:58Z,1187379241.3,1187400838.6,0.066,2.321,198,0.2,85.9,15.1,1.65
PDL,5,2007-08-11_thc,thc,2007-08-11,2007-08-11T02:41:17Z,2007-08-11T08:40:43Z,1186800077.5,1186821643.6,0.074,3.489,10,0.2,81.4,16.0,1.99
PDL,6,2007-08-17_thd,thd,2007-08-17,2007-08-17T17:50:11Z,2007-08-17T23:49:59Z,1187373011.4,1187394599.5,0.078,2.442,31,0.4,86.5,15.6,1.57
PDL,7,2007-08-16_the,the,2007-08-16,2007-08-16T10:06:01Z,2007-08-16T16:05:57Z,1187258761.1,1187280357.0,0.086,3.01,11,2.1,50.5,15.5,2.54
PDL,8,2023-03-04_tha,tha,2023-03-04,2023-03-04T06:37:01Z,2023-03-04T12:36:58Z,1677911821.1,1677933418.4,0.095,2.265,468,0.9,48.3,12.0,1.67
PDL,9,2007-08-30_tha,tha,2007-08-30,2007-08-30T20:59:01Z,2007-08-31T02:58:58Z,1188507541.5,1188529138.1,0.096,4.47,239,0.3,46.1,17.4,1.54
PDL,10,2023-02-20_tha,tha,2023-02-20,2023-02-20T18:23:01Z,2023-02-21T00:22:58Z,1676917381.1,1676938978.4,0.119,1.776,297,3.6,64.1,14.2,3.32
PDL,11,2018-09-17_thd,thd,2018-09-17,2018-09-17T20:59:00Z,2018-09-18T02:58:59Z,1537217940.5,1537239539.9,0.123,3.556,385,1.9,72.8,3.6,2.05
PDL,12,2018-10-24_tha,tha,2018-10-24,2018-10-23T22:31:00Z,2018-10-24T04:30:57Z,1540333860.6,1540355457.7,0.134,3.199,27,1.4,56.6,20.0,2.18
PDL,13,2007-08-17_the,the,2007-08-17,2007-08-17T17:51:03Z,2007-08-17T23:50:59Z,1187373063.5,1187394659.7,0.154,2.229,39,0.4,86.6,15.8,1.57
PDL,14,2007-08-17_thb,thb,2007-08-17,2007-08-17T17:10:12Z,2007-08-17T23:09:57Z,1187370612.5,1187392197.9,0.165,3.189,59,0.4,84.5,15.0,1.55
PDL,15,2018-09-18_thd,thd,2018-09-18,2018-09-17T21:36:00Z,2018-09-18T03:35:59Z,1537220160.3,1537241759.6,0.18,3.836,410,1.9,65.4,2.7,1.98
PDL,16,2009-07-23_thc,thc,2009-07-23,2009-07-23T09:44:01Z,2009-07-23T15:43:58Z,1248342241.3,1248363838.6,0.192,2.745,424,0.6,63.6,13.9,2.9
PDL,17,2012-12-30_tha,tha,2012-12-30,2012-12-30T06:19:02Z,2012-12-30T12:18:59Z,1356848342.4,1356869939.6,0.195,2.053,609,1.9,65.3,19.6,3.24
PDL,18,2008-09-09_thb,thb,2008-09-09,2008-09-08T21:00:00Z,2008-09-09T02:59:59Z,1220907601.0,1220929199.7,0.197,4.489,328,0.4,49.4,8.4,1.64
PDL,19,2014-02-28_tha,tha,2014-02-28,2014-02-28T03:32:00Z,2014-02-28T09:31:58Z,1393558320.7,1393579918.8,0.211,2.075,502,3.8,60.6,1.2,3.32
PDL,20,2021-01-20_the,the,2021-01-20,2021-01-20T18:55:03Z,2021-01-21T00:54:57Z,1611168903.7,1611190497.2,0.212,2.384,70,2.0,67.2,6.9,2.18
CONTROL,1,2023-04-05_tha,tha,2023-04-05,2023-04-05T15:41:02Z,2023-04-05T21:40:59Z,1680709262.5,1680730859.2,0.947,2.177,1021,-2.5,76.2,4.5,1.4
CONTROL,2,2023-03-06_tha,tha,2023-03-06,2023-03-06T14:01:00Z,2023-03-06T20:00:57Z,1678111260.1,1678132857.3,1.093,1.502,1016,-1.6,51.0,11.9,1.45
CONTROL,3,2009-09-15_tha,tha,2009-09-15,2009-09-15T01:17:02Z,2009-09-15T07:16:57Z,1252977422.9,1252999017.4,0.957,1.477,836,-0.5,59.3,11.8,1.79
CONTROL,4,2018-09-13_tha,tha,2018-09-13,2018-09-13T13:08:01Z,2018-09-13T19:07:59Z,1536844081.1,1536865679.7,1.012,1.619,738,-0.1,56.0,1.3,2.33
CONTROL,5,2021-01-18_tha,tha,2021-01-18,2021-01-18T12:09:01Z,2021-01-18T18:08:58Z,1610971741.6,1610993338.4,0.921,2.99,720,-0.6,61.6,4.6,2.55
