rank,eid,probe,date,t_start,t_end,Dn_mem,EB_mem,n_near,beta_near,T_near,T_bg,n_mem,bz,cone,sza,dp
1,2022-02-21_tha,tha,2022-02-21,2022-02-20T21:33:00Z,2022-02-21T03:32:58Z,0.88,1.415,9.57,0.309,210.0,257.0,901,4.2,53.7,4.5,1.63
2,2011-12-18_the,the,2011-12-18,2011-12-18T20:53:00Z,2011-12-19T02:28:08Z,0.526,1.998,52.97,0.78,102.0,103.0,850,3.3,71.4,23.4,3.13
3,2019-11-03_tha,tha,2019-11-03,2019-11-03T04:26:00Z,2019-11-03T10:25:59Z,0.797,3.344,23.27,0.515,124.0,140.0,834,2.4,74.2,20.5,1.63
4,2011-11-22_tha,tha,2011-11-22,2011-11-22T14:32:01Z,2011-11-22T20:31:57Z,0.735,1.45,44.6,1.814,140.0,151.0,832,3.1,84.6,26.5,3.33
5,2016-06-19_tha,tha,2016-06-19,2016-06-18T21:00:00Z,2016-06-19T02:59:59Z,0.499,4.085,3.68,0.269,536.0,403.0,812,1.1,54.5,21.0,1.76
6,2018-09-21_thd,thd,2018-09-21,2018-09-20T21:00:02Z,2018-09-21T02:59:58Z,0.637,4.038,12.43,0.418,116.0,134.0,797,0.3,77.2,10.6,0.88
7,2024-04-18_tha,tha,2024-04-18,2024-04-18T07:54:01Z,2024-04-18T13:53:59Z,0.607,2.845,19.08,0.258,123.0,148.0,781,4.0,79.4,1.7,2.11
8,2024-05-23_tha,tha,2024-05-23,2024-05-22T23:18:02Z,2024-05-23T05:17:59Z,0.889,2.065,24.88,0.806,161.0,196.0,772,1.6,61.0,16.1,2.08
9,2007-08-22_the,the,2007-08-22,2007-08-22T20:59:02Z,2007-08-23T02:58:59Z,0.402,3.627,11.88,0.243,119.0,153.0,737,2.3,87.2,17.8,1.35
10,2023-03-02_tha,tha,2023-03-02,2023-03-01T23:16:00Z,2023-03-02T05:15:57Z,0.542,2.878,5.71,0.238,349.0,331.0,726,3.0,73.9,12.2,1.91
11,2020-12-12_tha,tha,2020-12-12,2020-12-12T12:04:00Z,2020-12-12T18:03:59Z,0.554,2.279,13.48,0.524,173.0,188.0,723,1.0,56.7,11.1,1.68
12,2023-04-04_tha,tha,2023-04-04,2023-04-04T12:01:01Z,2023-04-04T18:00:58Z,0.884,2.707,13.22,0.786,306.0,339.0,712,1.1,61.4,4.8,2.3
13,2021-01-12_thd,thd,2021-01-12,2021-01-12T16:40:01Z,2021-01-12T22:39:58Z,0.757,2.399,15.72,0.448,175.0,237.0,707,2.6,67.3,8.2,1.63
14,2015-05-29_thd,thd,2015-05-29,2015-05-28T23:55:02Z,2015-05-29T05:54:59Z,0.502,1.667,22.51,0.274,120.0,118.0,693,5.1,74.3,14.8,2.48
